driver_id,seed,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_ablation,use_urban_context
263,42,0,0,0,0,0,-10.133139050791009,-10.133139050791009,-10.133139050791009,15.124088135508966,no_clutter,True
263,43,0,0,0,0,0,-10.133139050791009,-10.133139050791009,-10.133139050791009,15.124088135508966,no_clutter,True
263,44,0,0,0,0,0,-10.133139050791009,-10.133139050791009,-10.133139050791009,15.124088135508966,no_clutter,True
264,42,0,19,19,1,0,-3.0222731057452137,-5.937970699332085,-5.853965033712415,18.689959859321213,no_clutter,True
264,43,0,19,19,1,0,-3.0222731057452137,-5.937970699332085,-5.853965033712415,18.689959859321213,no_clutter,True
264,44,0,19,19,1,0,-3.0222731057452137,-5.937970699332085,-5.853965033712415,18.689959859321213,no_clutter,True
265,42,0,17,17,7,3,13.483097418817652,9.315328555695414,11.470751234918199,11.59239191221246,no_clutter,True
265,42,1,16,16,8,4,14.989675270607826,10.821906407485589,12.977329086708373,9.34376825282414,no_clutter,True
265,43,0,17,17,7,3,13.483097418817652,9.315328555695414,11.470751234918199,11.59239191221246,no_clutter,True
265,43,1,16,16,8,4,14.989675270607826,10.821906407485589,12.977329086708373,9.34376825282414,no_clutter,True
265,44,0,17,17,7,3,13.483097418817652,9.315328555695414,11.470751234918199,11.59239191221246,no_clutter,True
265,44,1,16,16,8,4,14.989675270607826,10.821906407485589,12.977329086708373,9.34376825282414,no_clutter,True
266,42,0,4,4,1,1,-5.8725228975853465,-6.340770866078801,-8.795867690700552,13.98884014564977,no_clutter,True
266,42,1,21,21,7,5,9.621315570358036,6.515342821949099,5.662836426264567,13.998036462152186,no_clutter,True
266,43,0,4,4,1,1,-5.8725228975853465,-6.340770866078801,-8.795867690700552,13.98884014564977,no_clutter,True
266,43,1,21,21,7,5,9.621315570358036,6.515342821949099,5.662836426264567,13.998036462152186,no_clutter,True
266,44,0,4,4,1,1,-5.8725228975853465,-6.340770866078801,-8.795867690700552,13.98884014564977,no_clutter,True
266,44,1,21,21,7,5,9.621315570358036,6.515342821949099,5.662836426264567,13.998036462152186,no_clutter,True
267,42,0,35,35,28,4,16.393338884263112,11.557430338484803,13.163940660412365,8.741285247368488,no_clutter,True
267,43,0,35,35,28,4,16.393338884263112,11.557430338484803,13.163940660412365,8.741285247368488,no_clutter,True
267,44,0,35,35,28,4,16.393338884263112,11.557430338484803,13.163940660412365,8.741285247368488,no_clutter,True
268,42,0,8,8,0,0,-11.438967527060784,-11.438967527060784,-11.438967527060784,17.073085861284753,no_clutter,True
268,43,0,8,8,0,0,-11.438967527060784,-11.438967527060784,-11.438967527060784,17.073085861284753,no_clutter,True
268,44,0,8,8,0,0,-11.438967527060784,-11.438967527060784,-11.438967527060784,17.073085861284753,no_clutter,True
269,42,0,7,7,2,0,-4.982264779350544,-6.13655324050317,-6.103219275579605,15.272036984105288,no_clutter,True
269,42,1,12,12,2,2,-8.301498751040802,-8.718168367144392,-9.05962628009611,16.867908583642986,no_clutter,True
269,43,0,7,7,2,0,-4.982264779350544,-6.13655324050317,-6.103219275579605,15.272036984105288,no_clutter,True
269,43,1,12,12,2,2,-8.301498751040802,-8.718168367144392,-9.05962628009611,16.867908583642986,no_clutter,True
269,44,0,7,7,2,0,-4.982264779350544,-6.13655324050317,-6.103219275579605,15.272036984105288,no_clutter,True
269,44,1,12,12,2,2,-8.301498751040802,-8.718168367144392,-9.05962628009611,16.867908583642986,no_clutter,True
270,42,0,0,0,0,0,-10.400499583680267,-10.400499583680267,-10.400499583680267,15.523133706985472,no_clutter,True
270,43,0,0,0,0,0,-10.400499583680267,-10.400499583680267,-10.400499583680267,15.523133706985472,no_clutter,True
270,44,0,0,0,0,0,-10.400499583680267,-10.400499583680267,-10.400499583680267,15.523133706985472,no_clutter,True
271,42,0,4,4,4,0,11.932056619483763,7.165089299258031,8.940057577396999,10.922303553009309,no_clutter,True
271,42,1,4,4,4,0,11.70512073272273,6.938153412496999,8.713121690635965,11.261013831757118,no_clutter,True
271,43,0,4,4,4,0,11.932056619483763,7.165089299258031,8.940057577396999,10.922303553009309,no_clutter,True
271,43,1,4,4,4,0,11.70512073272273,6.938153412496999,8.713121690635965,11.261013831757118,no_clutter,True
271,44,0,4,4,4,0,11.932056619483763,7.165089299258031,8.940057577396999,10.922303553009309,no_clutter,True
271,44,1,4,4,4,0,11.70512073272273,6.938153412496999,8.713121690635965,11.261013831757118,no_clutter,True
272,42,0,11,11,9,7,20.04354704412989,15.477431051676302,12.498280814803202,11.1290342624927,no_clutter,True
272,43,0,11,11,9,7,20.04354704412989,15.477431051676302,12.498280814803202,11.1290342624927,no_clutter,True
