policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
walk_aware_rendezvous,43,2015-04-02T15:24:00,307,0,1,3,6.25,-4.862156536219818,9.328718471766027,1.8,1.8727499946761028,0.5090815172407068,352,2280004;906459;126101,126101,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T17:37:00,61,1,1,3,17.75,3.876311407160699,40.48181567252346,0.25,4.4296638230914915,0.6860471957250945,355,618339;2629737;1482614,1482614,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T19:02:00,270,0,1,1,5.5,-4.900499583680267,-7.105125913154932,0.03333333333333333,4.40925265894933,0.7599245658418128,478,2579431,2579431,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T19:57:00,127,0,0,0,0.0,-8.366278101582015,-8.366278101582015,0.0,0.0,0.0,484,,,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T20:22:00,403,0,2,3,17.0,9.986761032472938,20.796718974905612,3.8833333333333337,2.4600280383782156,0.5246150415781045,532,45433;1385821;27443,1385821;27443,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T21:00:00,399,0,2,3,29.75,24.77089925062448,33.44763912771526,3.966666666666667,4.048840081939475,0.839573633932864,500,753079;2194874;905340,753079;905340,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T21:11:00,39,0,2,3,21.0,10.46798501248959,16.20690270706414,2.95,3.0073882036169675,0.5562963702130977,493,1043130;2120166;2288694,1043130;2288694,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T22:48:00,33,0,0,0,0.0,-9.628642797668611,-9.628642797668611,0.0,0.0,0.0,454,,,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T23:38:00,68,1,2,3,19.0,9.628476269775186,18.303510245349877,4.283333333333333,2.549977349616874,0.4617618045560805,450,2749802;1079310;366292,1079310;366292,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-02T23:39:00,22,0,2,3,17.5,8.424604496253123,13.27240626964179,2.975,2.43479881774089,0.5899490253811499,456,2037415;83692;948157,2037415;948157,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
