policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
walk_aware_rendezvous,44,2015-04-03T19:30:00,232,1,1,1,11.0,1.8775187343880084,0.16011678503064353,0.31666666666666665,3.434803898714731,0.5923936438658499,10,33339,33339,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T23:10:00,120,1,1,1,2.75,-2.982639467110742,-5.732639467110742,4.733333333333333,5.6101052987659985,0.7572867396097578,5,26525,26525,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-03T23:10:00,242,0,0,0,0.0,-10.558659450457954,-10.558659450457954,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T01:10:00,241,1,0,0,0.0,-7.0476269775187355,-7.0476269775187355,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T01:47:00,50,0,0,0,0.0,-3.2805995004163204,-3.2805995004163204,0.0,0.0,0.0,5,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T03:24:00,19,0,0,0,0.0,-10.079641965029143,-10.079641965029143,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T08:43:00,75,0,0,0,0.0,-9.0725645295587,-9.0725645295587,0.0,0.0,0.0,0,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T10:29:00,186,0,0,0,0.0,-11.525645295587012,-11.525645295587012,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T12:01:00,248,0,1,1,6.25,-1.6425895087427147,-4.629804437538592,2.05,5.974429857591755,0.7636822260626622,5,30639,30639,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T15:56:00,0,0,0,0,0.0,-8.706786011656954,-8.706786011656954,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T16:29:00,212,0,0,0,0.0,-1.2225645295587013,-1.2225645295587013,0.0,0.0,0.0,12,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T21:21:00,28,0,0,0,0.0,-7.693047460449626,-7.693047460449626,0.0,0.0,0.0,9,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-04T21:48:00,190,1,1,1,6.0,-0.8080349708576184,-1.6345603586328101,3.5166666666666666,1.653050775550383,0.3435260163833018,14,24439,24439,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T01:03:00,8,1,0,1,0.0,-9.248459616985846,-5.171585639456347,0.0,1.3462520449410014,0.5636797927535511,5,35040,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T05:50:00,198,0,0,0,0.0,-6.569067443796837,-6.569067443796837,0.0,0.0,0.0,0,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T07:28:00,173,0,0,0,0.0,-7.223272273105746,-7.223272273105746,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T08:11:00,123,0,0,0,0.0,-7.566402997502082,-7.566402997502082,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T10:12:00,81,0,0,0,0.0,-8.847751873438801,-8.847751873438801,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T13:41:00,206,0,0,0,0.0,-12.654246461282266,-12.654246461282266,0.0,0.0,0.0,2,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T14:11:00,179,0,0,0,0.0,-12.406494587843465,-12.406494587843465,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T15:27:00,203,0,0,1,0.0,-7.8804329725228985,-4.4063149234876215,0.0,4.551763901929446,0.6136797927535511,8,3785,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,2015-04-05T15:34:00,54,0,0,0,0.0,-5.782264779350542,-5.782264779350542,0.0,0.0,0.0,5,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
